label,n,p,k,temperature,humidity,soil_moisture,soil_type,fertilizer
maize,40,1,0,30.5,44.64,38.98,Black,20-20
sugarcane,34,2,4,26.28,48.68,70.0,Red,Urea
sugarcane,12,13,4,25.57,62.06,37.05,Clayey,20-20
barley,15,34,0,36.47,68.04,31.14,Black,14-35-14
maize,13,16,15,29.61,61.46,58.05,Clayey,20-20
barley,11,31,0,32.27,43.73,42.3,Red,10-26-26
sugarcane,35,4,4,32.45,72.32,58.58,Red,17-17-17
cotton,36,3,2,31.45,59.69,21.84,Clayey,20-20
sugarcane,27,19,4,30.78,58.79,47.7,Clayey,DAP
paddy,14,42,0,34.17,50.98,30.6,Black,Urea
oil_seeds,40,0,4,28.46,59.53,22.83,Sandy,28-28
paddy,5,34,4,31.84,70.47,33.25,Sandy,DAP
millets,41,1,1,32.44,68.93,49.8,Black,17-17-17
wheat,11,5,0,29.94,66.26,49.69,Clayey,20-20
ground_nuts,10,12,15,31.34,71.35,48.67,Black,20-20
tobacco,20,22,0,25.63,62.91,41.61,Clayey,DAP
millets,33,0,1,34.35,55.97,36.25,Clayey,20-20
cotton,6,27,5,30.51,65.48,56.53,Clayey,17-17-17
millets,38,0,0,37.83,68.34,49.42,Black,14-35-14
sugarcane,3,28,10,24.16,50.01,55.95,Sandy,28-28
wheat,26,14,0,30.37,56.03,56.06,Red,14-35-14
sugarcane,7,9,4,20.52,53.81,70.0,Black,14-35-14
millets,9,31,0,30.38,62.75,49.15,Loamy,DAP
maize,37,0,0,26.95,66.15,29.7,Clayey,10-26-26
millets,17,13,0,30.91,45.69,26.52,Red,17-17-17
pulses,3,33,12,28.2,65.07,29.22,Black,28-28
barley,14,36,0,33.24,67.96,42.8,Black,DAP
sugarcane,8,10,2,26.61,61.2,31.07,Loamy,14-35-14
tobacco,23,24,0,30.87,49.79,47.29,Sandy,20-20
paddy,19,22,2,29.27,66.25,31.4,Loamy,10-26-26
oil_seeds,28,14,0,23.6,58.44,26.7,Black,28-28
cotton,36,0,3,36.42,67.17,50.44,Sandy,28-28
barley,9,16,20,20.0,55.62,31.35,Loamy,17-17-17
wheat,18,23,4,29.8,56.47,33.35,Clayey,28-28
cotton,38,0,0,29.62,47.21,39.21,Black,Urea
sugarcane,18,9,15,22.62,42.74,22.19,Loamy,14-35-14
millets,9,10,14,25.29,46.46,44.88,Black,Urea
millets,37,1,0,32.55,48.07,47.11,Clayey,28-28
sugarcane,13,9,1,32.87,61.85,40.26,Black,Urea
barley,35,3,4,26.11,61.27,51.36,Black,20-20
barley,9,25,2,31.87,60.06,34.29,Black,28-28
paddy,43,0,1,32.58,48.15,44.44,Loamy,28-28
sugarcane,14,37,0,29.57,61.98,37.31,Clayey,28-28
oil_seeds,10,29,10,27.54,61.78,69.59,Black,DAP
cotton,19,24,2,35.8,70.42,24.42,Sandy,28-28
ground_nuts,20,16,2,30.64,43.47,43.45,Clayey,10-26-26
millets,11,13,0,33.81,60.32,39.79,Loamy,20-20
barley,19,19,1,32.19,56.71,42.67,Clayey,17-17-17
pulses,3,16,22,24.9,56.17,38.53,Loamy,20-20
cotton,12,13,0,30.68,53.52,44.75,Red,DAP
ground_nuts,6,17,17,27.75,51.19,44.54,Red,DAP
sugarcane,17,21,0,32.06,56.81,35.82,Black,14-35-14
paddy,14,10,16,32.21,61.12,67.23,Clayey,10-26-26
tobacco,16,10,0,33.28,65.51,47.53,Clayey,14-35-14
cotton,12,27,3,26.89,53.69,24.47,Loamy,10-26-26
maize,22,14,0,31.99,66.28,51.34,Red,DAP
cotton,37,0,0,40.0,75.62,45.82,Black,17-17-17
paddy,39,0,0,39.55,77.65,32.25,Sandy,DAP
millets,26,17,0,31.1,54.3,49.85,Sandy,17-17-17
oil_seeds,10,33,11,30.71,50.67,62.58,Black,Urea
maize,13,34,4,36.09,74.92,37.36,Red,DAP
sugarcane,42,0,0,32.41,73.63,40.09,Loamy,DAP
paddy,9,12,0,20.41,47.39,70.0,Loamy,14-35-14
millets,9,32,12,39.16,63.48,44.6,Black,17-17-17
wheat,23,21,0,29.43,48.63,56.66,Red,17-17-17
paddy,35,1,0,25.23,48.9,32.37,Clayey,20-20
oil_seeds,42,0,0,27.82,57.4,31.09,Red,28-28
paddy,13,29,10,26.28,53.62,61.96,Loamy,Urea
paddy,39,0,0,29.07,44.79,38.69,Black,DAP
oil_seeds,21,22,0,29.07,56.85,52.96,Clayey,17-17-17
wheat,13,10,8,27.78,53.53,62.54,Black,DAP
pulses,6,29,4,31.27,64.6,62.52,Loamy,28-28
paddy,32,0,4,23.13,50.43,38.07,Clayey,28-28
pulses,36,0,3,30.36,62.15,33.85,Sandy,Urea
ground_nuts,26,23,0,27.51,66.12,33.06,Clayey,DAP
oil_seeds,40,4,0,36.98,65.69,42.05,Loamy,20-20
maize,8,5,1,24.77,53.31,26.82,Sandy,20-20
ground_nuts,40,0,3,29.73,65.86,46.73,Clayey,17-17-17
wheat,14,18,0,28.3,50.98,67.77,Black,DAP
paddy,14,38,0,35.46,67.95,51.35,Loamy,Urea
millets,14,39,3,38.51,72.13,44.07,Sandy,Urea
pulses,24,15,1,26.83,56.77,54.59,Loamy,17-17-17
ground_nuts,11,18,10,34.03,53.39,46.23,Black,Urea
sugarcane,26,23,1,34.11,57.79,43.23,Red,17-17-17
millets,1,12,13,23.16,58.93,47.74,Loamy,28-28
pulses,10,8,0,22.4,57.86,63.99,Loamy,Urea
tobacco,33,1,2,25.11,62.03,42.44,Red,14-35-14
maize,34,0,0,30.54,67.81,51.69,Clayey,Urea
pulses,35,0,0,40.0,77.33,57.68,Sandy,14-35-14
ground_nuts,20,18,0,29.77,67.26,46.16,Sandy,10-26-26
paddy,17,39,0,28.57,63.78,31.25,Black,Urea
maize,36,0,0,40.0,78.33,45.34,Black,DAP
ground_nuts,9,30,5,28.38,52.69,45.92,Sandy,DAP
maize,15,10,16,25.14,49.84,20.0,Black,10-26-26
oil_seeds,11,8,16,32.76,59.14,55.84,Clayey,20-20
ground_nuts,10,4,4,28.16,54.87,44.86,Clayey,14-35-14
paddy,38,3,0,32.63,54.58,41.18,Clayey,28-28
oil_seeds,12,36,0,28.25,53.46,37.81,Sandy,14-35-14
maize,9,16,1,27.1,58.81,28.94,Sandy,17-17-17
maize,19,18,0,31.7,56.91,48.75,Black,17-17-17
wheat,7,16,14,33.32,59.59,41.45,Red,10-26-26
oil_seeds,42,0,0,29.16,54.43,24.67,Red,Urea
cotton,13,9,1,33.63,64.13,34.63,Sandy,10-26-26
oil_seeds,1,17,14,33.46,62.58,24.01,Clayey,DAP
barley,10,37,1,29.49,61.99,38.54,Clayey,28-28
maize,5,23,6,37.73,78.44,43.81,Loamy,DAP
wheat,10,43,0,32.28,57.19,36.23,Red,10-26-26
barley,10,10,2,32.34,69.02,43.22,Red,17-17-17
barley,12,8,10,30.69,61.53,44.72,Sandy,17-17-17
tobacco,7,13,3,28.05,59.27,27.07,Red,20-20
pulses,8,41,0,36.17,61.99,40.86,Clayey,28-28
oil_seeds,9,27,5,26.77,64.03,57.33,Red,20-20
cotton,20,17,0,33.21,59.82,45.42,Loamy,10-26-26
wheat,40,1,0,30.82,55.95,70.0,Loamy,10-26-26
ground_nuts,40,3,0,34.65,70.51,57.0,Black,28-28
maize,11,18,9,30.43,70.25,53.78,Red,17-17-17
sugarcane,13,13,13,22.87,45.11,21.74,Black,DAP
paddy,6,12,0,22.79,48.84,56.1,Black,Urea
maize,14,37,0,26.32,63.21,69.24,Red,17-17-17
maize,13,35,9,31.25,69.0,50.68,Sandy,17-17-17
millets,8,20,15,31.95,57.54,27.63,Loamy,17-17-17
maize,8,18,17,27.03,63.0,44.8,Loamy,DAP
ground_nuts,8,42,1,39.45,77.38,41.31,Red,10-26-26
ground_nuts,9,25,7,27.13,53.92,67.62,Black,Urea
barley,9,32,0,31.83,61.48,51.62,Clayey,14-35-14
millets,6,9,0,21.37,57.03,60.02,Sandy,17-17-17
millets,12,29,3,28.78,45.41,33.28,Red,17-17-17
maize,13,33,6,33.44,67.72,40.98,Loamy,DAP
tobacco,14,12,0,33.14,57.63,47.22,Loamy,Urea
pulses,21,24,0,29.37,74.97,35.82,Red,10-26-26
wheat,21,17,1,28.65,63.42,42.26,Loamy,10-26-26
millets,37,4,0,28.31,57.46,30.33,Sandy,14-35-14
cotton,11,37,0,37.01,59.22,39.3,Sandy,14-35-14
ground_nuts,36,0,0,24.68,49.73,57.68,Black,17-17-17
ground_nuts,18,21,0,23.48,47.26,34.88,Loamy,Urea
oil_seeds,38,0,0,34.27,69.31,41.01,Loamy,17-17-17
barley,13,16,17,24.87,66.48,38.24,Black,17-17-17
tobacco,35,0,0,31.6,46.43,60.07,Loamy,17-17-17
millets,23,13,0,33.9,64.42,47.41,Sandy,28-28
wheat,40,0,3,29.68,61.79,25.12,Loamy,20-20
oil_seeds,35,0,1,36.07,67.14,27.42,Clayey,Urea
ground_nuts,44,3,0,30.88,47.99,36.9,Sandy,DAP
paddy,20,21,0,23.28,50.87,49.11,Clayey,10-26-26
sugarcane,23,14,4,25.46,51.66,35.48,Clayey,17-17-17
ground_nuts,7,27,9,31.97,56.88,44.52,Sandy,10-26-26
pulses,20,20,0,33.65,54.44,47.34,Loamy,28-28
wheat,42,0,0,29.41,52.2,37.85,Clayey,28-28
wheat,11,40,0,33.14,53.67,35.54,Loamy,DAP
maize,7,25,12,34.04,51.83,35.12,Loamy,10-26-26
ground_nuts,45,2,4,29.59,69.84,47.02,Sandy,DAP
millets,9,15,17,21.86,61.37,27.44,Clayey,10-26-26
pulses,7,23,10,25.15,53.19,39.29,Sandy,10-26-26
tobacco,18,38,0,28.5,65.02,37.98,Black,14-35-14
cotton,8,13,0,25.95,54.58,31.28,Black,28-28
ground_nuts,9,35,0,28.8,55.76,35.61,Loamy,20-20
paddy,10,13,0,28.73,63.67,33.14,Loamy,17-17-17
maize,14,19,3,28.11,45.22,66.38,Red,DAP
paddy,10,25,14,24.63,51.74,20.0,Loamy,17-17-17
barley,38,1,0,24.23,60.39,25.34,Loamy,DAP
pulses,8,36,0,35.44,59.69,21.57,Sandy,Urea
oil_seeds,10,33,0,32.54,55.61,56.88,Clayey,28-28
cotton,24,25,2,29.74,50.15,30.71,Black,10-26-26
tobacco,44,0,0,32.17,47.61,35.09,Clayey,10-26-26
wheat,6,14,1,31.94,53.5,34.06,Black,17-17-17
wheat,10,4,0,32.9,54.1,49.07,Black,Urea
pulses,21,22,0,30.2,44.61,36.62,Clayey,DAP
tobacco,43,0,0,28.07,71.72,34.22,Red,DAP
oil_seeds,7,36,2,33.42,53.47,50.87,Sandy,28-28
ground_nuts,8,38,3,38.9,76.36,23.34,Black,10-26-26
oil_seeds,17,14,12,28.68,59.59,30.67,Clayey,10-26-26
maize,23,23,3,30.71,61.75,42.85,Loamy,14-35-14
cotton,11,36,1,29.26,46.67,40.59,Clayey,17-17-17
millets,7,39,0,33.76,64.28,62.87,Sandy,17-17-17
sugarcane,5,9,0,27.86,67.32,40.15,Clayey,17-17-17
paddy,10,6,0,28.44,56.96,55.12,Black,28-28
barley,15,34,4,29.24,46.88,44.55,Black,20-20
sugarcane,21,13,0,33.89,67.27,44.73,Clayey,10-26-26
oil_seeds,15,13,11,29.21,48.17,26.09,Red,28-28
millets,20,22,0,33.05,61.26,28.59,Black,14-35-14
paddy,15,44,0,27.83,50.75,31.94,Red,14-35-14
maize,15,31,4,25.88,42.06,48.59,Black,10-26-26
millets,17,36,0,37.68,64.53,62.03,Clayey,DAP
maize,36,2,0,35.76,52.2,41.09,Sandy,10-26-26
tobacco,38,4,1,30.46,58.56,39.96,Sandy,20-20
tobacco,7,33,4,34.07,61.18,26.06,Black,Urea
maize,26,18,0,34.33,54.12,42.26,Sandy,10-26-26
millets,36,0,0,22.92,51.28,23.58,Clayey,14-35-14
tobacco,11,12,0,35.58,65.91,30.27,Red,14-35-14
barley,42,2,2,31.27,50.14,42.65,Red,DAP
tobacco,27,17,2,26.24,60.66,48.23,Black,20-20
cotton,16,36,0,33.36,49.37,28.54,Black,DAP
paddy,10,10,0,27.0,58.9,67.14,Red,Urea
oil_seeds,41,0,0,34.61,56.25,58.99,Red,28-28
pulses,5,30,11,25.43,50.03,57.43,Loamy,Urea
cotton,21,28,0,28.68,68.2,43.9,Sandy,DAP
millets,7,19,13,21.33,53.57,55.5,Clayey,DAP
wheat,33,0,0,37.75,58.35,37.82,Red,Urea
sugarcane,8,13,4,35.21,73.16,48.0,Black,28-28
barley,6,28,11,29.75,56.27,31.85,Loamy,20-20
maize,25,14,0,23.77,54.99,41.64,Clayey,10-26-26
maize,21,27,0,34.64,54.07,50.89,Black,Urea
millets,22,20,1,31.77,48.2,49.79,Clayey,20-20
pulses,1,19,22,22.76,49.09,32.91,Black,14-35-14
paddy,26,24,0,32.98,66.5,41.35,Clayey,Urea
millets,12,11,0,26.24,54.1,38.98,Loamy,20-20
tobacco,18,16,4,31.48,62.77,52.55,Sandy,28-28
cotton,12,16,13,30.87,68.3,42.11,Loamy,Urea
oil_seeds,8,15,10,33.65,56.18,56.49,Sandy,28-28
millets,9,19,15,24.49,60.36,22.61,Black,DAP
pulses,15,34,0,27.9,57.2,31.87,Clayey,DAP
maize,42,0,4,25.3,58.41,32.96,Loamy,20-20
pulses,18,19,0,33.84,59.65,46.92,Clayey,DAP
oil_seeds,8,29,11,33.61,64.0,22.98,Sandy,DAP
millets,13,37,3,32.61,72.07,32.62,Clayey,14-35-14
paddy,9,14,0,26.98,44.04,66.35,Clayey,Urea
paddy,43,4,0,26.08,46.32,70.0,Sandy,28-28
paddy,15,38,4,23.46,44.89,36.24,Black,28-28
tobacco,11,17,3,22.68,55.72,37.57,Loamy,20-20
wheat,3,21,19,32.61,54.03,34.38,Loamy,20-20
barley,20,24,4,22.73,57.96,38.9,Red,Urea
tobacco,13,37,0,33.53,69.87,62.59,Sandy,17-17-17
pulses,25,20,1,29.59,61.69,42.35,Sandy,14-35-14
barley,11,32,8,35.43,75.29,47.09,Clayey,14-35-14
pulses,8,33,0,28.02,58.94,45.14,Clayey,DAP
oil_seeds,41,0,0,28.71,50.83,38.48,Clayey,DAP
sugarcane,32,2,1,28.69,57.93,30.03,Sandy,17-17-17
wheat,11,10,0,31.97,74.57,25.98,Loamy,20-20
maize,14,13,18,38.94,72.08,57.52,Black,14-35-14
wheat,24,19,3,27.52,45.64,50.85,Black,17-17-17
tobacco,7,12,17,27.02,50.44,41.89,Clayey,20-20
pulses,9,41,0,35.55,67.27,37.82,Sandy,DAP
maize,38,0,2,34.18,74.74,50.05,Red,10-26-26
millets,21,20,1,36.35,71.25,37.03,Sandy,17-17-17
millets,9,38,0,29.98,53.76,60.3,Loamy,17-17-17
ground_nuts,35,0,2,22.47,54.03,32.7,Clayey,10-26-26
paddy,17,37,0,29.13,67.3,34.87,Black,28-28
maize,17,11,0,30.91,69.94,41.75,Sandy,10-26-26
maize,18,28,4,28.89,56.51,48.61,Clayey,17-17-17
sugarcane,16,40,0,28.99,60.36,45.61,Black,28-28
pulses,44,0,0,27.53,56.83,40.73,Black,14-35-14
barley,13,37,3,38.55,59.74,67.6,Red,20-20
pulses,10,19,22,33.73,65.97,52.77,Clayey,10-26-26
paddy,5,24,5,28.95,61.0,49.42,Sandy,10-26-26
pulses,32,0,2,29.44,60.05,37.08,Loamy,20-20
tobacco,37,2,4,37.91,78.37,47.5,Black,14-35-14
millets,38,2,0,22.06,53.64,62.43,Sandy,Urea
maize,10,21,17,29.9,50.37,36.94,Red,14-35-14
cotton,1,27,5,29.48,65.8,57.41,Loamy,14-35-14
wheat,40,4,0,40.0,69.31,59.57,Sandy,DAP
tobacco,7,8,2,25.82,56.18,61.74,Loamy,28-28
pulses,1,15,17,28.24,40.02,40.05,Red,20-20
ground_nuts,31,0,2,32.76,51.56,45.73,Sandy,DAP
tobacco,8,28,3,36.77,64.73,55.77,Red,17-17-17
ground_nuts,21,18,0,20.58,55.92,31.05,Loamy,14-35-14
paddy,22,18,1,21.55,53.17,35.77,Red,DAP
pulses,35,2,0,31.85,64.85,57.26,Loamy,DAP
paddy,16,36,0,27.38,50.41,31.84,Clayey,17-17-17
millets,12,31,10,24.4,57.91,27.16,Loamy,DAP
sugarcane,3,13,17,32.6,54.47,50.6,Clayey,20-20
ground_nuts,10,12,16,30.3,52.93,55.68,Loamy,14-35-14
wheat,4,33,9,36.87,57.57,45.09,Clayey,17-17-17
wheat,2,13,21,34.86,62.76,36.35,Red,28-28
barley,44,0,0,35.65,71.86,53.99,Loamy,14-35-14
maize,25,22,0,30.31,50.43,35.53,Clayey,28-28
wheat,9,6,0,25.23,48.47,57.13,Red,14-35-14
millets,10,5,0,26.81,65.88,59.33,Loamy,20-20
sugarcane,2,27,7,38.19,61.79,70.0,Loamy,20-20
millets,6,36,9,33.87,62.52,61.81,Sandy,10-26-26
sugarcane,5,33,8,28.87,57.72,46.25,Clayey,28-28
cotton,13,12,11,37.83,59.3,43.69,Loamy,17-17-17
oil_seeds,9,42,0,29.8,59.07,54.15,Sandy,Urea
pulses,12,34,0,32.93,59.84,31.68,Loamy,28-28
maize,37,0,0,26.86,48.06,41.76,Sandy,14-35-14
ground_nuts,17,35,3,35.24,56.8,37.98,Red,28-28
barley,17,16,13,35.85,63.92,50.71,Loamy,14-35-14
ground_nuts,12,9,0,29.78,70.86,33.51,Clayey,20-20
maize,17,10,18,21.61,58.34,25.13,Clayey,17-17-17
oil_seeds,8,13,12,27.69,65.61,48.22,Red,Urea
ground_nuts,34,4,1,24.76,43.52,35.03,Sandy,17-17-17
tobacco,8,33,3,30.93,47.92,53.87,Sandy,14-35-14
pulses,16,13,0,29.99,54.05,36.41,Clayey,20-20
oil_seeds,10,17,0,28.32,51.25,38.83,Sandy,DAP
ground_nuts,4,30,8,32.3,57.5,28.11,Black,17-17-17
maize,39,3,4,28.84,56.24,54.54,Loamy,DAP
barley,17,22,4,34.15,64.07,42.61,Clayey,20-20
paddy,21,26,0,34.1,59.07,37.26,Red,14-35-14
maize,42,1,3,29.23,57.13,41.46,Red,20-20
ground_nuts,11,25,5,32.1,61.91,33.02,Loamy,10-26-26
pulses,39,0,0,29.11,56.7,40.85,Red,10-26-26
wheat,15,11,0,30.83,43.14,58.64,Black,DAP
wheat,21,19,0,29.28,64.36,38.44,Black,28-28
tobacco,8,6,1,25.66,68.77,42.77,Sandy,DAP
wheat,40,0,0,29.51,61.2,48.69,Loamy,17-17-17
oil_seeds,16,11,6,29.72,51.46,39.97,Black,DAP
maize,35,0,3,33.16,68.18,27.27,Loamy,Urea
ground_nuts,16,37,0,38.57,69.47,35.76,Sandy,DAP
tobacco,9,36,3,30.4,58.65,58.25,Sandy,28-28
maize,14,35,0,34.75,70.91,33.64,Clayey,20-20
paddy,15,20,15,25.52,57.37,36.07,Sandy,28-28
wheat,14,12,2,27.58,60.64,42.28,Loamy,DAP
sugarcane,3,31,13,33.06,73.54,63.25,Red,14-35-14
millets,35,0,3,30.98,60.43,34.78,Clayey,DAP
sugarcane,33,3,0,38.1,74.1,66.48,Loamy,17-17-17
cotton,12,5,0,28.06,60.94,51.32,Clayey,10-26-26
sugarcane,10,14,0,25.92,63.87,37.41,Red,10-26-26
tobacco,34,0,3,28.82,48.22,36.64,Loamy,Urea
oil_seeds,12,34,0,37.06,75.75,28.48,Loamy,Urea
pulses,25,27,0,32.73,68.98,46.02,Clayey,Urea
sugarcane,8,18,16,29.23,61.98,39.5,Loamy,14-35-14
pulses,24,21,0,31.37,64.37,50.13,Clayey,20-20
wheat,18,24,3,34.0,59.81,36.57,Sandy,DAP
wheat,12,11,10,31.81,58.06,49.03,Black,Urea
pulses,19,14,0,22.25,58.5,48.46,Sandy,20-20
maize,10,6,4,31.1,60.2,37.11,Clayey,20-20
pulses,20,21,0,35.42,57.14,39.62,Sandy,Urea
barley,31,0,0,26.7,56.64,48.14,Black,20-20
barley,14,42,2,32.35,63.16,38.72,Red,28-28
pulses,38,0,0,24.07,56.17,37.66,Black,DAP
barley,41,3,1,36.03,64.38,52.82,Sandy,10-26-26
ground_nuts,27,25,0,33.45,73.71,34.17,Clayey,28-28
tobacco,13,14,17,34.69,66.52,43.91,Black,DAP
ground_nuts,15,31,1,26.83,55.99,70.0,Black,28-28
sugarcane,38,3,1,37.23,57.81,35.92,Red,Urea
ground_nuts,14,42,2,37.91,67.79,65.15,Loamy,17-17-17
oil_seeds,13,33,0,32.7,52.68,51.6,Sandy,20-20
pulses,39,0,0,30.57,51.83,41.43,Black,20-20
oil_seeds,20,18,0,27.81,50.2,35.57,Black,28-28
tobacco,13,13,7,28.53,48.81,31.53,Sandy,Urea
tobacco,45,0,1,32.33,66.18,32.51,Sandy,14-35-14
millets,10,25,5,34.3,69.48,20.0,Black,17-17-17
tobacco,10,43,0,26.61,57.1,26.11,Loamy,DAP
sugarcane,38,3,0,30.74,57.16,66.9,Sandy,20-20
paddy,15,34,0,24.54,66.05,39.14,Black,20-20
millets,15,42,4,34.76,60.13,44.36,Sandy,17-17-17
sugarcane,13,28,11,25.47,55.49,58.13,Loamy,28-28
ground_nuts,12,12,4,27.35,62.5,42.01,Sandy,14-35-14
maize,38,0,3,28.11,55.71,25.36,Clayey,14-35-14
ground_nuts,21,26,0,33.96,48.63,35.77,Sandy,DAP
pulses,14,40,0,36.51,58.06,51.75,Loamy,DAP
millets,4,16,0,33.0,54.95,39.38,Loamy,DAP
tobacco,44,0,2,24.16,49.21,39.12,Loamy,10-26-26
millets,15,13,0,32.06,61.93,57.19,Clayey,Urea
paddy,38,2,1,31.63,59.15,26.89,Black,14-35-14
ground_nuts,3,33,6,35.34,74.07,53.44,Loamy,Urea
cotton,38,0,0,29.35,50.79,33.69,Loamy,20-20
millets,19,16,0,33.25,55.48,47.7,Sandy,17-17-17
cotton,14,36,0,30.75,58.05,65.23,Red,Urea
millets,2,21,19,30.72,66.14,20.0,Red,17-17-17
maize,9,42,0,22.18,48.97,24.49,Clayey,DAP
oil_seeds,9,29,12,33.14,62.56,26.19,Sandy,Urea
barley,34,0,2,21.2,48.29,57.03,Sandy,10-26-26
oil_seeds,10,11,12,28.41,58.76,58.06,Red,14-35-14
cotton,8,11,0,22.68,56.76,68.02,Black,10-26-26
tobacco,42,4,2,37.59,56.26,44.68,Red,28-28
sugarcane,5,24,19,30.81,47.67,38.48,Sandy,Urea
pulses,23,25,1,31.48,59.28,37.95,Black,14-35-14
sugarcane,41,2,1,29.47,59.62,31.33,Red,10-26-26
paddy,33,0,2,28.52,63.14,37.44,Black,Urea
millets,34,0,0,37.46,62.66,42.24,Clayey,Urea
maize,38,0,0,24.64,58.38,63.27,Loamy,20-20
millets,15,40,0,40.0,77.27,38.47,Red,17-17-17
wheat,17,17,0,22.31,49.61,31.26,Black,DAP
sugarcane,41,0,0,29.54,59.13,40.66,Loamy,17-17-17
barley,6,13,10,35.59,59.08,70.0,Black,DAP
pulses,6,17,14,33.9,62.16,47.51,Sandy,DAP
tobacco,10,13,19,34.54,58.84,53.98,Black,28-28
sugarcane,7,39,3,33.48,58.65,32.9,Loamy,28-28
oil_seeds,19,42,0,34.99,75.44,53.77,Loamy,20-20
ground_nuts,14,40,4,40.0,66.7,69.57,Red,28-28
cotton,17,44,4,26.37,52.2,36.71,Loamy,14-35-14
ground_nuts,15,8,0,30.89,58.66,49.31,Loamy,14-35-14
ground_nuts,8,35,0,28.31,43.74,42.46,Red,20-20
sugarcane,7,27,4,24.14,51.65,39.68,Black,14-35-14
millets,35,2,1,24.67,47.76,26.37,Loamy,10-26-26
pulses,16,21,2,23.6,55.67,40.76,Black,20-20
millets,13,36,0,27.74,65.66,67.85,Loamy,17-17-17
sugarcane,15,7,16,27.83,41.06,29.89,Sandy,Urea
oil_seeds,13,11,15,28.66,64.42,38.34,Black,28-28
sugarcane,21,19,0,27.57,47.43,38.87,Red,20-20
millets,14,10,0,32.25,51.79,35.69,Black,DAP
ground_nuts,22,15,0,33.02,48.8,52.02,Clayey,28-28
maize,19,13,0,30.68,54.7,40.85,Black,DAP
wheat,16,40,1,30.56,60.51,28.79,Red,20-20
cotton,7,27,12,25.84,60.68,34.82,Sandy,14-35-14
oil_seeds,43,0,0,34.57,55.7,53.44,Clayey,14-35-14
cotton,24,22,0,26.71,55.16,44.94,Red,10-26-26
oil_seeds,11,13,0,22.88,46.03,22.86,Black,28-28
oil_seeds,12,36,7,33.69,55.35,60.53,Black,10-26-26
wheat,35,0,0,29.22,49.26,33.55,Red,28-28
maize,5,27,7,32.64,67.85,32.04,Loamy,17-17-17
tobacco,6,13,22,25.17,47.0,37.3,Black,10-26-26
oil_seeds,16,7,0,30.7,57.61,50.29,Black,Urea
barley,18,40,1,29.75,58.55,65.87,Clayey,10-26-26
ground_nuts,11,10,14,27.58,64.9,58.56,Red,20-20
millets,35,4,0,30.12,64.91,33.26,Sandy,20-20
millets,1,19,21,28.43,63.69,37.41,Sandy,17-17-17
paddy,31,0,0,26.62,61.65,36.08,Loamy,20-20
millets,10,41,2,33.94,57.36,51.49,Clayey,20-20
millets,12,37,3,33.34,65.67,58.35,Black,17-17-17
cotton,6,16,0,31.03,54.07,57.8,Black,28-28
pulses,2,25,6,32.8,73.72,52.98,Clayey,Urea
paddy,13,36,0,33.37,65.55,45.17,Red,20-20
oil_seeds,13,5,0,26.13,55.73,53.35,Red,Urea
barley,10,24,14,29.21,57.9,34.9,Red,Urea
maize,11,15,16,33.39,63.67,59.26,Black,17-17-17
millets,42,1,0,30.47,61.98,21.87,Black,DAP
barley,12,12,0,24.6,59.94,58.54,Black,17-17-17
barley,1,14,18,32.18,53.01,45.88,Sandy,DAP
sugarcane,9,16,3,26.48,61.28,57.82,Sandy,10-26-26
pulses,23,28,0,33.16,63.11,53.91,Sandy,10-26-26
millets,38,2,0,37.39,69.61,67.14,Red,20-20
sugarcane,14,16,3,38.64,74.69,33.53,Sandy,Urea
pulses,11,38,0,22.93,59.18,36.33,Loamy,17-17-17
paddy,45,0,0,31.44,62.56,39.08,Red,20-20
tobacco,9,29,6,25.6,66.44,64.99,Clayey,DAP
paddy,6,14,12,33.19,59.66,56.19,Loamy,14-35-14
sugarcane,38,0,0,27.12,47.82,58.64,Clayey,Urea
cotton,24,16,0,28.19,51.2,44.38,Clayey,14-35-14
cotton,6,32,11,31.97,58.34,59.73,Red,DAP
cotton,41,3,0,34.13,65.02,35.68,Black,DAP
maize,27,20,0,26.4,65.58,44.9,Sandy,Urea
cotton,39,0,3,37.03,63.45,39.53,Red,20-20
pulses,20,26,2,21.34,54.69,39.42,Red,14-35-14
millets,16,42,0,30.34,57.74,34.86,Red,DAP
maize,23,24,0,27.05,53.84,37.54,Black,14-35-14
ground_nuts,13,14,6,28.09,53.58,27.41,Loamy,28-28
wheat,19,24,3,36.19,70.05,26.41,Black,14-35-14
barley,13,16,0,27.86,44.14,58.37,Black,14-35-14
oil_seeds,31,2,0,26.41,56.89,37.25,Loamy,17-17-17
sugarcane,5,14,0,28.03,42.81,70.0,Black,10-26-26
paddy,17,14,13,29.21,57.22,49.29,Clayey,14-35-14
sugarcane,15,39,0,37.56,66.53,37.17,Black,14-35-14
tobacco,26,17,0,35.57,69.22,38.56,Clayey,28-28
cotton,17,42,2,34.43,59.77,62.97,Red,14-35-14
barley,35,3,0,31.27,43.49,37.61,Loamy,14-35-14
barley,6,16,20,25.82,61.11,39.24,Red,17-17-17
millets,36,0,0,26.5,45.75,61.25,Red,DAP
sugarcane,10,6,0,34.03,60.39,43.18,Loamy,10-26-26
millets,6,11,2,28.01,50.4,61.19,Red,DAP
oil_seeds,14,35,3,28.67,55.39,64.88,Clayey,17-17-17
cotton,39,0,0,30.47,67.64,60.18,Red,17-17-17
cotton,8,11,9,29.93,66.3,55.91,Black,DAP
